2026-06-10 12:40:55 | INFO     | etl_pipeline     |   [OK] Extracted: Kolkata
2026-06-10 12:40:56 | INFO     | etl_pipeline     |   [OK] Extracted: Hyderabad
2026-06-10 12:40:56 | INFO     | etl_pipeline     |   [OK] Extracted: Pune
2026-06-10 12:40:56 | INFO     | etl_pipeline     |   [OK] Extracted: Ahmedabad
2026-06-10 12:40:56 | INFO     | etl_pipeline     |   [OK] Extracted: Jaipur
2026-06-10 12:40:56 | INFO     | etl_pipeline     |   [OK] Extracted: Surat
2026-06-10 12:40:56 | INFO     | etl_pipeline     | Extract complete: 10/10 cities fetched
2026-06-10 12:40:56 | INFO     | etl_pipeline     | [TRANSFORM] Validating and enriching records...
2026-06-10 12:40:56 | INFO     | etl_pipeline     | Transform complete: 10 valid, 0 invalid
2026-06-10 12:40:56 | INFO     | etl_pipeline     | [ALERTS] Checking thresholds...
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: High temp 42.78 C > 35.0 C
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: Low pressure 998 hPa < 1000.0 hPa
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Chennai: High temp 36.59 C > 35.0 C
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Kolkata: High temp 40.34 C > 35.0 C
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Hyderabad: High temp 36.1 C > 35.0 C
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Ahmedabad: High temp 39.29 C > 35.0 C
2026-06-10 12:40:56 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Jaipur: High temp 39.5 C > 35.0 C
2026-06-10 12:40:56 | INFO     | etl_pipeline     | [LOAD] Writing to database...
2026-06-10 12:40:56 | INFO     | etl_pipeline     | Load complete: 10 records inserted
2026-06-10 12:40:56 | INFO     | etl_pipeline     | Pipeline complete: {'run_id': 4, 'cities_fetched': 10, 'records_inserted': 10, 'alerts_triggered': 7, 'errors': None, 'status': 'SUCCESS'}
2026-06-10 12:40:56 | INFO     | monitor          | Health check [database]: OK
2026-06-10 12:40:56 | INFO     | monitor          | Health check [disk_space]: OK
2026-06-10 12:40:56 | INFO     | monitor          | Health check [data_fresh]: OK
2026-06-10 12:40:56 | INFO     | monitor          | Health check [log_dir]: OK
2026-06-10 12:45:48 | INFO     | main             | Initialising database...
2026-06-10 12:45:48 | INFO     | database         | Database setup complete: /Users/abhinav/Documents/The Developers Arena Internship/Project - 3/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 12:45:48 | INFO     | main             | Running one-shot ETL pipeline...
2026-06-10 12:45:48 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:45:48 | INFO     | etl_pipeline     | Pipeline Run #5 started at 2026-06-10 12:45:48
2026-06-10 12:45:48 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:45:48 | INFO     | etl_pipeline     | [EXTRACT] Fetching data for 10 cities...
2026-06-10 12:45:48 | INFO     | etl_pipeline     |   [OK] Extracted: Mumbai
2026-06-10 12:45:48 | INFO     | etl_pipeline     |   [OK] Extracted: Delhi
2026-06-10 12:45:48 | INFO     | etl_pipeline     |   [OK] Extracted: Bangalore
2026-06-10 12:45:49 | INFO     | etl_pipeline     |   [OK] Extracted: Chennai
2026-06-10 12:45:49 | INFO     | etl_pipeline     |   [OK] Extracted: Kolkata
2026-06-10 12:45:49 | INFO     | etl_pipeline     |   [OK] Extracted: Hyderabad
2026-06-10 12:45:49 | INFO     | etl_pipeline     |   [OK] Extracted: Pune
2026-06-10 12:45:49 | INFO     | etl_pipeline     |   [OK] Extracted: Ahmedabad
2026-06-10 12:45:50 | INFO     | etl_pipeline     |   [OK] Extracted: Jaipur
2026-06-10 12:45:50 | INFO     | etl_pipeline     |   [OK] Extracted: Surat
2026-06-10 12:45:50 | INFO     | etl_pipeline     | Extract complete: 10/10 cities fetched
2026-06-10 12:45:50 | INFO     | etl_pipeline     | [TRANSFORM] Validating and enriching records...
2026-06-10 12:45:50 | INFO     | etl_pipeline     | Transform complete: 10 valid, 0 invalid
2026-06-10 12:45:50 | INFO     | etl_pipeline     | [ALERTS] Checking thresholds...
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: High temp 42.78 C > 35.0 C
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: Low pressure 998 hPa < 1000.0 hPa
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Chennai: High temp 36.65 C > 35.0 C
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Kolkata: High temp 40.34 C > 35.0 C
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Hyderabad: High temp 36.1 C > 35.0 C
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Ahmedabad: High temp 39.29 C > 35.0 C
2026-06-10 12:45:50 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Jaipur: High temp 39.5 C > 35.0 C
2026-06-10 12:45:50 | INFO     | etl_pipeline     | [LOAD] Writing to database...
2026-06-10 12:45:50 | INFO     | etl_pipeline     | Load complete: 10 records inserted
2026-06-10 12:45:50 | INFO     | etl_pipeline     | Pipeline complete: {'run_id': 5, 'cities_fetched': 10, 'records_inserted': 10, 'alerts_triggered': 7, 'errors': None, 'status': 'SUCCESS'}
2026-06-10 12:45:50 | INFO     | monitor          | Health check [database]: OK
2026-06-10 12:45:50 | INFO     | monitor          | Health check [disk_space]: OK
2026-06-10 12:45:50 | INFO     | monitor          | Health check [data_fresh]: OK
2026-06-10 12:45:50 | INFO     | monitor          | Health check [log_dir]: OK
2026-06-10 12:47:04 | INFO     | main             | Initialising database...
2026-06-10 12:47:04 | INFO     | database         | Database setup complete: /Users/abhinav/Documents/The Developers Arena Internship/Project - 3/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 12:47:04 | INFO     | main             | Running one-shot ETL pipeline...
2026-06-10 12:47:04 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:47:04 | INFO     | etl_pipeline     | Pipeline Run #6 started at 2026-06-10 12:47:04
2026-06-10 12:47:04 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:47:04 | INFO     | etl_pipeline     | [EXTRACT] Fetching data for 10 cities...
2026-06-10 12:47:04 | INFO     | etl_pipeline     |   [OK] Extracted: Mumbai
2026-06-10 12:47:04 | INFO     | etl_pipeline     |   [OK] Extracted: Delhi
2026-06-10 12:47:04 | INFO     | etl_pipeline     |   [OK] Extracted: Bangalore
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Chennai
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Kolkata
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Hyderabad
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Pune
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Ahmedabad
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Jaipur
2026-06-10 12:47:05 | INFO     | etl_pipeline     |   [OK] Extracted: Surat
2026-06-10 12:47:05 | INFO     | etl_pipeline     | Extract complete: 10/10 cities fetched
2026-06-10 12:47:05 | INFO     | etl_pipeline     | [TRANSFORM] Validating and enriching records...
2026-06-10 12:47:05 | INFO     | etl_pipeline     | Transform complete: 10 valid, 0 invalid
2026-06-10 12:47:05 | INFO     | etl_pipeline     | [ALERTS] Checking thresholds...
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: High temp 42.78 C > 35.0 C
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Delhi: Low pressure 998 hPa < 1000.0 hPa
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Chennai: High temp 36.65 C > 35.0 C
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Kolkata: High temp 40.34 C > 35.0 C
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Hyderabad: High temp 36.1 C > 35.0 C
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Ahmedabad: High temp 39.29 C > 35.0 C
2026-06-10 12:47:05 | WARNING  | etl_pipeline     |   [ALERT][WARNING] Jaipur: High temp 39.5 C > 35.0 C
